#
# Unicode Codepages
#
1207;PM Unicode, UPF-8
1208;Unicode, UTF-8

#
# ASCII-based (PC) Codepages
#
367;ASCII, 7-bit
437;DOS Extended ASCII (United States)
813;ISO Greek, ISO-8859-7
819;ISO Latin 1, ISO-8859-1
850;IBM Latin 1 (Multilingual)
851;DOS Greek
852;IBM Latin 2 (Eastern Europe)
855;IBM Cyrillic
856;DOS Hebrew
857;IBM Latin 5 (Turkey)
859;IBM Latin 9 (Multilingual)
860;IBM Portuguese
861;IBM Icelandic
862;IBM Hebrew (Israel)
863;IBM Canadian French
864;IBM Arabic
865;IBM Nordic
866;IBM Russian
868;IBM Urdu
869;IBM Greek
874;Thai, TIS-620/ISO-8859-11 Extended
878;Internet Russian, KOI8-R
891;Korean Extended ASCII
895;Japanese JIS-Roman, 7-bit
# 897;Japanese JISX0201-1976, SBCS-PC (same as 1041)
903;Simplified Chinese ASCII, SAA
# 904;Traditional Chinese ASCII, SAA (same as 1043)
907;APL
909;APL2 Extended
910;APL2
912;ISO Latin 2, ISO-8859-2
913;ISO Latin 3, ISO-8859-3
914;ISO Latin 4, ISO-8859-4
915;ISO Cyrillic, ISO-8859-5
916;ISO Hebrew, ISO-8859-8
920;ISO Latin 5, ISO-8859-9
921;ISO Latin 7, ISO-8859-13
922;Estonian
923;ISO Latin 9, ISO-8859-15 (Multilingual)
932;Japanese, Shift_JIS (same as 943)
942;Japanese, Shift_JIS-1978/SAA
943;Japanese, Shift_JIS-1990/Win31-J
944;Korean, SAA legacy encoding
946;Simplified Chinese, SAA legacy encoding
948;Traditional Chinese CNS11643, SAA
949;Korean KSC5601, Wansung
950;Traditional Chinese BIG-5, MBCS-PC
954;Japanese, EUC-JP
964;Traditional Chinese, EUC-TW
970;Korean, EUC-KR
1004;Windows Latin 1 Extended
1006;Urdu
1008;Windows Arabic, Original
1041;Japanese JISX0201-1976, SBCS-PC
1043;Traditional Chinese ASCII SAA
1051;HP Roman 8
1088;Korean ASCII Extended, SBCS-PC
1089;ISO Arabic, ISO-8859-6
1098;IBM Farsi
1114;ASCII + PC Symbols, 7-bit SBCS-PC
1115;Simplified Chinese ASCII Extended, SBCS-PC
1116;IBM Estonian
1117;IBM Latvian
1118;IBM Lithuanian
1119;IBM Lithuanian & Russian
1124;Ukrainian, ISO Cyrillic Modified
1125;IBM Ukrainian
1131;IBM Belarussian
1250;Windows Latin 2
1251;Windows Cyrillic
1252;Windows Latin 1
1253;Windows Greek
1254;Windows Turkish
1255;Windows Hebrew
1256;Windows Arabic
1257;Windows Latin 4
1275;Apple Latin 1
1276;Adobe PostScript Standard Encoding
1277;Adobe PostScript Latin 1 Encoding
1280;Apple Greek
1281;Apple Turkish
